PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;COD-BARRIO;COD-DISTRITO;TELEFONO;FAX;EMAIL;TIPO
10297432;Colegio Mayor Argentino Nuestra Señora de Luján;;;Tipo mixta.;Bus: 160, 161, 46, U, A.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=341d849d706fa510VgnVCM2000001f4a900aRCRD;MARTIN FIERRO;CALLE;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437941;4476419;4.043.610.189.927.620;-37.317.021.070.491.200;911 812 050;915 446 001;administracion@cmanslujan.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297437;Colegio Mayor Barberán y Collar;;;Tipo mixta.;Bus: 160, 161, A, 46.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20cd849d706fa510VgnVCM2000001f4a900aRCRD;SENECA;AVENIDA;V;16;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437816;4476247;4.043.454.312.015.340;-37.331.589.657.126.600;916 020 300;;cmubarberan@mde.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297474;Colegio Mayor Casa Do Brasil;;;Tipo mixta.;Metro: Ciudad Universitaria (línea 6).  Bus: 132, 133, 162, 46, 82, 83, G, U, 160, 161, A.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d8b0849d706fa510VgnVCM2000001f4a900aRCRD;MEMORIA;AVENIDA;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438486;4476684;404.385.296.144.669;-37.253.024.686.096.700;914 551 560;;sec@casadobrasil.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297556;Colegio Mayor Chaminade;;;Tipo mixta.;Metro: Guzmán el Bueno (línea 6 y 7), Vicente Aleixandre (línea 6).  Bus: 132, F, C2, C1.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fce1849d706fa510VgnVCM2000001f4a900aRCRD;JUAN XXIII;PASEO;V;9;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439137;4477657;4.044.734.269.189.940;-37.177.204.203.755.100;915 545 400;;secretaria@fugjchaminade.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297714;Colegio Mayor Diego de Covarrubias;;;Tipo mixta.;Bus: U, 160, 161, A.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f15849d706fa510VgnVCM2000001f4a900aRCRD;SENECA;AVENIDA;V;10;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438214;4476373;4.043.570.784.001.130;-37.284.790.953.706.000;913 941 030;913 941 158;cmm@pas.ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297748;Colegio Mayor Elías Ahúja;;;Tipo masculina.;Bus: 132, F, 44.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba16849d706fa510VgnVCM2000001f4a900aRCRD;RECTOR ROYO-VILLANOVA;CALLE;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439345;4478044;4.045.084.414.412.480;-3.715.304.747.021.530;915 337 700;;info@eliasahuja.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6522;Colegio Mayor Fundación SEPI;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).  Bus: F, C2, 132, C1.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3163b54d771c010VgnVCM1000000b205a0aRCRD;GREGORIO DEL AMO;AVENIDA;V;2;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439043;4477610;4.044.691.241.011.280;-37.188.243.117.013.300;915 336 812 / 915 338 602 / 915 338 603;915 548 758;colegiomayor@fundacionsepi.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6520;Colegio Mayor Jaime del Amo;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6).  Bus: 132, F.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed563b54d771c010VgnVCM1000000b205a0aRCRD;GREGORIO DEL AMO;AVENIDA;V;5;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438859;4477699;4.044.581.887.627.950;-37.222.677.252.309.000;915 540 804;915 547 066;secretaria@jaimedelamo.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6521;Colegio Mayor Jorge Juan;;;Tipo mixta.;Bus: 160, 161, A, 46, U.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70763b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;14;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437936;4476288;4.043.492.142.749.530;-37.317.482.607.656.700;915 507 100;915 507 244;secretaria@cmjorgejuan.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6523;Colegio Mayor Juan Luis Vives;;;Tipo mixta.;Metro: Plaza de Castilla (líneas 1, 9 y 10).  Bus: 107, 129, 70, 174, 150.  Bicimad: Estación 255 (calle General López Pozas, 2).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03863b54d771c010VgnVCM1000000b205a0aRCRD;FRANCISCO SUAREZ;CALLE;V;7;;;;;MADRID;MADRID;28036;5;NUEVA ESPAÑA;5;CHAMARTIN;441961;4479597;4.046.502.103.311.070;-3.684.598.375.537.020;914 979 900;;cmluisvives@uam.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6524;Colegio Mayor Juan XXIII Roncalli;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6).  Bus: 132, F, C2.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e808a4ea6871c010VgnVCM1000000b205a0aRCRD;RAMIRO DE MAEZTU;CALLE;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439111;4477845;4.044.903.436.609.760;-37.180.450.242.710.700;915 339 408 / 915 339 409;;direccion@roncalli.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6527;Colegio Mayor Loyola;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).  Bus: 132, F.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=95963b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;17;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439332;4477948;40.449.978.389.398.100;-37.154.488.731.293.900;915 340 404;915 352 205;secretaria@cmuloyola.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6528;Colegio Mayor Mara;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).  Bus: 132, F, C2.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28a63b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;15;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439277;4477904;4.044.957.800.403.510;-3.716.093.224.725.080;915 536 604;;secretaria@colegiomayormara.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6529;Colegio Mayor Marqués de la Ensenada;;;Tipo mixta.;Bus: 46, 160, 161, A.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bab63b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;18;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437783;4476236;4.043.443.255.155.730;-37.335.468.357.846.000;915 497 100;915 495 501;info@cmumarquesdelaensenada.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6530;Colegio Mayor Méndel;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).  Bus: 132, F, C2.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4dc63b54d771c010VgnVCM1000000b205a0aRCRD;RECTOR ROYO-VILLANOVA;CALLE;V;6;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439336;4478263;40.450.934.544.390.600;-37.167.090.633.777.900;915 340 700;;director@cmmendel.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6531;Colegio Mayor Moncloa;;;Tipo masculina.;Metro: Guzmán el Bueno (línea 6 y 7), Vicente Aleixandre (línea 6).  Bus: 45, 2, C1, F, C2.  Bicimad: Estación 256 (calle Beatriz de Bobadilla, 2).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfd63b54d771c010VgnVCM1000000b205a0aRCRD;MONCLOA;AVENIDA;V;3;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439328;4477492;4.044.587.019.420.180;-37.154.642.696.633.100;915 338 500;;info@cmmoncloa.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6532;Colegio Mayor Montalbán;;;Tipo masculina.;Metro:  Núñez de Balboa (líneas 5 y 9).  Bus: 61, 19, 51, 9.   Bicimad: Estación 190 (Velázquez, 91).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62f63b54d771c010VgnVCM1000000b205a0aRCRD;DIEGO DE LEON;CALLE;V;14;;;;;MADRID;MADRID;28006;6;CASTELLANA;4;SALAMANCA;441972;4476247;4.043.484.347.201.610;-36.841.625.162.173;915 634 971 / 915 637 298;;info@cmmontalban.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6534;Colegio Mayor Nuestra Señora de Guadalupe;;;Tipo mixta.;Metro: Moncloa (líneas 3 y 6), Ciudad Universitaria (línea 6).  Bus: 160, 161, A, 132, 133, 162, 46, 82, 83, G, U.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=36263b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438453;4476490;404.367.795.439.933;-372.567.274.629.791;915 435 200;;info.guadalupe@eoi.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6538;Colegio Mayor Padre Poveda;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Gúzman el Bueno (líneas 6 y 7).  Bus: C1, C2.  Bicimad: Estación 244 (calle Isaac Peral, 44).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a273b54d771c010VgnVCM1000000b205a0aRCRD;ISAAC PERAL;CALLE;V;60;;;;;MADRID;MADRID;28040;6;VALLEHERMOSO;7;CHAMBERI;439022;4477172;4.044.296.519.201.280;-3.719.029.884.065.170;914 562 589;;secretaria@cmppoveda.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10298280;Colegio Mayor Pío XII;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6).  Bus: C1, C2, 132, F.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b721beab56fa510VgnVCM2000001f4a900aRCRD;JUAN XXIII;PASEO;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438935;4477389;40.444.913.629.078.700;-3.720.076.539.464.820;915 141 700 / 915 141 711;;info@colegiomayorpioxii.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6545;Colegio Mayor Santa María de Europa;;;Tipo mixta.;Metro: Islas Filipinas (línea 7), Canal (línea 2 y 7).  Bus: 12, 2.  Bicimad: Estaciones 245 (calle Galileo, 63), 202 (calle Santander esquina con Avenida de Filipinas).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e6873b54d771c010VgnVCM1000000b205a0aRCRD;CEA BERMUDEZ;CALLE;V;17;;;;;MADRID;MADRID;28003;2;ARAPILES;7;CHAMBERI;439858;4476690;4.043.868.402.339.630;-37.091.271.764.184.800;915 336 200;;ccmm@ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6544;Colegio Mayor Santa María del Pino;;;Tipo femenina.;Metro: Islas Filipinas (línea 7).  Bus: 44, 12, C1, C2.  Bicimad: Estaciones 244 (calle Isaac Peral, 44), 203 (General Ampudia, 2), 128 (calle Cea Bermúdez, 59).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0ca73b54d771c010VgnVCM1000000b205a0aRCRD;SAN FRANCISCO DE SALES;PASEO;V;13;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439255;4476886;40.440.405.842.741.500;-37.162.552.923.226.000;915 432 409;915 495 022;secretaria@colegiomayorpino.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6546;Colegio Mayor Santa Mónica;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).  Bus: 132, C2, F.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9eb73b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;19;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439395;4477985;4.045.031.629.573.980;-37.147.095.093.706.000;915 333 001;;secretaria@cmumonica.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
46080;Colegio Mayor Santa Teresa de Jesús;;;Tipo mixta.;Bus: 160, 161, A, U, 46.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a147598d1351c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;12;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438144;4476534;4.043.527.112.820.390;-3.730.584.824.196.920;913 941 008;;;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6552;Colegio Mayor Somosierra;;;Tipo femenina.;Metro: Concha Espina (línea 9), Colombia (líneas 8 y 9).  Bus: 52, 120, 43.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=46f73b54d771c010VgnVCM1000000b205a0aRCRD;VICTOR DE LA SERNA;CALLE;V;13;;;;;MADRID;MADRID;28016;4;HISPANOAMERICA;5;CHAMARTIN;442967;4478297;4.045.338.463.229.640;-3.672.607.650.534.370;914 136 011 - 618 746 081;;cmsomosierra@cmsomosierra.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6519;Colegio Mayor Universitario Isabel de España;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).  Bus: 132, F.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b463b54d771c010VgnVCM1000000b205a0aRCRD;DON RAMON MENENDEZ PIDAL;CALLE;V;5;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438945;4477782;4.044.845.466.186.270;-37.199.964.073.881.400;915 336 104;;cmisabel@cmisabel.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6540;Colegio Mayor Universitario San Agustín;;;Tipo mixta.;Bus: U.  Bicimad: Estación 257 (avenida Juan de Herrera frente a la calle Paul Guinard).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f473b54d771c010VgnVCM1000000b205a0aRCRD;ANTONIO NEBRIJA;TRAVESIA;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438398;4476692;40.436.713.266.051.200;-37.276.174.551.102.000;915 505 000;;colegio@cmusa.net;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6542;Colegio Mayor Universitario San Pablo;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6), Islas Filipinas (línea 7).  Bus: C2, C1.  Bicimad: Estación 24 (calle Isaac Peral, 44).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=54773b54d771c010VgnVCM1000000b205a0aRCRD;ISAAC PERAL;CALLE;V;58;;;;;MADRID;MADRID;28040;6;VALLEHERMOSO;7;CHAMBERI;439057;4477082;4.044.215.700.197.540;-3.718.608.573.921.030;915 989 600;915 340 528;colegiomayor@cmusp.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6549;Colegio Mayor Universitario Santillana;;;Tipo masculina.;Bus: 134.  Cercanías Renfe: Mirasierra-Paco de Lucia (líneas C3, C7, C8 y Regional).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=21d73b54d771c010VgnVCM1000000b205a0aRCRD;MARBELLA;CALLE;V;60;;;;;MADRID;MADRID;28034;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;440155;4482901;4.049.465.655.478.300;-37.062.113.507.743.100;917 355 031 / 639 40 16 12 (Whatsapp);;cmsantillana@cmsantillana.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
